title,publishedAt,duration,views,likes,comments
"SSR, SSG & ISR in Next.js | Sigma Web Development Course - Tutorial #133",2024-10-17T14:30:11Z,PT14M18S,31274,1291,241
Is AI & ML Worth the Hype?,2024-10-16T14:15:47Z,PT11M14S,152027,6449,511
Understanding next/navigation module in Next.js | Sigma Web Development Course - Tutorial #132,2024-10-15T11:30:12Z,PT12M50S,23831,933,213
Strapi 5 Crash Course for Beginners 🔥,2024-10-11T11:30:09Z,PT1H15M22S,42054,991,142
AI for Testing 🔥,2024-10-10T17:00:37Z,PT53S,69256,3753,60
How to Scrape Amazon Using AI (with least manual coding) 🔥,2024-10-10T11:30:27Z,PT12M31S,19069,763,107
Host & Test Free Llama Models on your own Server + Kusho AI for Gen AI Testing,2024-10-09T11:30:19Z,PT15M44S,20264,770,97
I Built an AI Agent to Help me Get a Job 🔥,2024-10-06T05:30:21Z,PT22M54S,37917,1637,144
How to Build a Website in 10 Minutes Using WordPress & AI (No Coding Required)🔥,2024-10-05T05:30:06Z,PT11M32S,106857,2841,220
AI assisted academic writing 🔥 #ai_thor,2024-10-04T12:13:52Z,PT56S,84066,7746,50
Should You Learn Multiple Programming Languages? (The Truth),2024-10-03T11:30:24Z,PT8M29S,139043,6546,731
Best Data Analyst Learning Resources in 2025,2024-09-29T11:00:21Z,PT10M17S,286963,10935,450
HTML Full Course (in Hindi),2024-09-28T12:56:12Z,PT2H39M30S,1475605,34252,5288
Instagram Comments & Posts Automation using Make 🔥,2024-09-26T11:57:50Z,PT16M47S,29940,1171,137
I Created SEO Friendly Blogs using AI (Experiment),2024-09-24T11:30:07Z,PT19M28S,65989,2309,194
India's E-Commerce Tech #meesho #api #coding #tech,2024-09-13T11:30:04Z,PT58S,73249,5348,84
Complete CyberSecurity Roadmap 2025 (Beginner's Guide),2024-09-11T11:46:10Z,PT15M4S,457023,18974,850
How I Created AI Agents That Do My Work For Me 🔥,2024-09-08T05:30:11Z,PT21M40S,342496,10006,557
"Lets build a Markdown blog using Next.js, Shadcn, Tailwind, Pieces, Remark & Rehype 🔥",2024-09-05T14:24:12Z,PT2H29M50S,97764,2401,274
Fastest Way to Build an E-Commerce Website (For now) 🔥,2024-09-04T05:30:02Z,PT22M58S,59562,2210,276
College doesn't teach you the skills needed in the industry #skillsmatter  #simplilearn,2024-08-30T10:56:48Z,PT57S,416750,13907,289
What is low-code? | Let's build a low-code app with Zoho Creator,2024-08-29T14:30:06Z,PT24M30S,2232860,28634,268
TRUTH about Colleges!,2024-08-28T11:59:40Z,PT9M22S,96193,5679,670
Predis.AI: Your Social Media Co-Pilot 🔥,2024-08-24T02:30:05Z,PT1M,71327,5791,67
What is an Anti Detection Browser | Anti Detection browser demo using Gologin Browser  🔥,2024-08-23T06:00:30Z,PT10M46S,58039,1691,194
Which Technology to use for Game Development?,2024-08-21T05:55:29Z,PT6M50S,49219,2597,280
Python vs JavaScript | What to Choose? | ft. Toolify.ai,2024-08-19T07:11:49Z,PT9M23S,331111,11911,659
Generative AI Roadmap For Absolute Beginners 🔥,2024-08-17T07:31:31Z,PT15M13S,515537,17459,889
2024 Generative AI Roadmap For Absolute Beginners 🔥,2024-08-17T05:30:06Z,PT15M19S,14713,1181,183
How to build a Website using Wordpress & AI in 5 Minutes?,2024-08-14T02:30:06Z,PT10M13S,144804,3754,274
Make AI Text Sound Human(Free AI) #coding #aitools #aidetection #aihumanizer,2024-08-13T15:55:22Z,PT1M1S,69235,5226,78
AI Advertisements: Url to Video Ad using @joggai,2024-08-11T11:30:32Z,PT59S,114948,10283,87
"How much HTML, CSS and JavaScript is Enough to get a Job 🔥",2024-08-08T14:30:06Z,PT14M32S,551623,24388,1046
AI Coding Buddy: AI Assistance Like a Friend Beside You | Pieces for Developers,2024-08-07T11:30:31Z,PT15M30S,81324,3802,583
Which Operating System I use and Why 💻,2024-08-05T14:30:18Z,PT14M57S,248067,9038,1376
How to Build an E-Commerce Website in 15 Minutes | eCommerce Hosting by Elementor 🔥,2024-07-31T17:29:21Z,PT16M37S,53549,2052,297
Can AI Create Video Ads? - Let's Find out! | URL to Ads using @joggai,2024-07-30T11:30:11Z,PT21M30S,81638,2828,224
Microsoft Special Boarding Pass ✈️,2024-07-20T11:42:58Z,PT57S,795969,53150,348
Amazing AI for your Desktop 🔥,2024-07-17T14:41:22Z,PT1M,401678,37797,236
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,2024-07-16T11:30:17Z,PT15M20S,1145262,39970,1448
C Language Tutorial for Beginners (With Notes + Surprise) 🔥,2024-07-09T15:25:30Z,PT10H3M19S,4571524,81157,35471
Write Undetectable AI & Plagiarism-Free Essays Online with the Best AI Essay Writing Copilot 🔥,2024-07-01T11:30:12Z,PT9M,39871,1200,324
Project Management Roadmap for Beginners | Project Management Learning Path For 2025 🔥,2024-06-29T05:30:07Z,PT16M37S,238999,7270,416
Selenium Tutorial for Beginners using Python | Selenium for Web Scraping (With Project),2024-06-26T12:05:02Z,PT36M55S,222268,4534,365
MalCare: WordPress Security for High Performance Websites,2024-06-23T11:30:06Z,PT11M53S,18504,669,149
Create Undetectable AI Content Online with this tool 🔥,2024-06-21T11:30:27Z,PT8M23S,51296,2294,261
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,2024-06-16T05:36:24Z,PT10H53M55S,11743038,256016,33997
Let's Build an E-Commerce Website using WordPress | ShopPress E-Commerce Tutorial 🔥,2024-06-09T11:30:07Z,PT36M23S,87111,2330,258
"Docker in 2025 | Docker Scout, Docker Build Cloud, Docker Debug & many more new features 🔥",2024-05-25T10:48:01Z,PT28M45S,58230,1545,325
How to make an E-commerce Website in 10 Minutes (Grocery Online Store) | WordPress Ecommerce Website,2024-05-20T07:41:17Z,PT9M59S,134989,3104,289
This is How Hackers Crack Passwords! (Don't Try),2024-05-19T07:24:10Z,PT8M27S,2661049,55856,1922
Train Your Own Custom AI Chatbot on Custom Data - CustomGPT Tutorial 🔥,2024-05-17T14:25:42Z,PT14M51S,70241,2443,204
A Mystery box from a Tech Brand | BenQ RD240Q Review🔥,2024-05-16T16:02:09Z,PT10M15S,35594,1477,132
AI & ML Roadmap - Complete Roadmap for Machine Learning + PDF Download📜,2024-05-11T12:00:07Z,PT8M40S,736259,27320,990
AI based Driverless Taxi (No Driver) | Real life Tarzan the wonder car!,2024-05-07T10:13:56Z,PT51S,1439582,54476,729
Job Advice from an Oracle Hiring Manager (Silicon Valley),2024-05-04T11:30:01Z,PT18M12S,163636,6822,380
"Microsoft Girl in the US talks about AI, DSA and life in the US 🔥",2024-05-02T17:34:11Z,PT21M41S,233644,7392,437
"Jensen Huang on AI, work-life balance, success, and more 🔥",2024-04-29T07:50:52Z,PT10M42S,107199,4410,295
Future of AI ft. Indian Developer in USA @SinghInUSA,2024-04-26T16:50:02Z,PT7M56S,143325,5539,402
The  Ultimate Python Programming Roadmap (Before you Start)🐍,2024-04-24T11:30:07Z,PT11M39S,1054003,40149,1317
Tutorial: Create a WordPress eCommerce Website for Beginners 🔥,2024-04-23T14:30:31Z,PT3H7M17S,236765,5796,777
Complete 2024 Roadmap to Become a Data Scientist,2024-04-21T11:30:18Z,PT23M51S,851094,32203,2553
Project GetMeAChai - Patreon Clone in Next.js | Sigma Web Development Course - Tutorial #131,2024-04-20T14:21:47Z,PT4H49M2S,274916,4932,943
Build WooCommerce store & integrate email marketing to boost sales +40%,2024-04-17T14:04:44Z,PT10M27S,11400,399,84
Building Peer-to-Peer Applications using Pears!,2024-04-15T11:30:19Z,PT11M56S,23107,877,166
5 Things I am doing to Beat AI (Copy These!) 💥,2024-04-11T15:17:22Z,PT6M,250342,10362,626
Speed up your WordPress Website in 1 Click! (5X Faster),2024-04-10T12:05:02Z,PT5M38S,23445,893,156
How to Make a Professional Website using AI in 10 Minutes!,2024-04-08T12:17:23Z,PT19M28S,159178,5538,344
"Profitable Web Developer RoadMap - Step by Step | Freelancing, Jobs & AI in Web Development 🔥",2024-04-05T05:30:18Z,PT13M53S,942115,42514,1456
Let's build an Amazon price tracker using React & Python 🔥,2024-04-03T11:30:27Z,PT1H8M13S,49863,1792,225
GitHub Copilot - FREE Forever!! (Legal Way),2024-04-01T11:30:20Z,PT5M,197944,7432,627
5 Things I Wish I Knew When I Started Programming (Honest Truth),2024-03-29T17:56:59Z,PT9M7S,149162,9037,619
Run your own AI (but private),2024-03-28T11:30:17Z,PT3M51S,106724,6327,1463
AI Killed Web Development - The Reality (Honest Truth) 😢,2024-03-24T11:35:52Z,PT21M48S,421094,19478,2243
💥Windows vs Linux vs Mac - End of Debate (Eye-Opening) 💥,2024-03-23T05:36:50Z,PT10M49S,299121,8766,2214
Devin is here - This is the end ☠️,2024-03-20T06:37:17Z,PT11M56S,561035,26266,2796
➡️ You Must Try This IDE! 🤯,2024-03-19T12:24:23Z,PT9M44S,34910,1353,155
"React Project: Password Manager using React, Tailwind, MongoDB & Express | Sigma WebD Tutorial #130",2024-03-18T12:33:11Z,PT2H28M15S,242369,4593,823
🎮 How to Become a Game Developer | Complete Roadmap for Game Development 🎮,2024-03-17T05:30:16Z,PT9M48S,877107,31057,1384
Benefits of Coding 🔥🔥,2024-03-16T08:14:54Z,PT1M1S,316220,20430,258
Use WordPress & WooCommerce in 2025 AI Era - Here's Why! (Eye Opening),2024-03-15T05:30:05Z,PT10M6S,286419,6257,586
How To Become an Ethical Hacker? | CyberSecurity Roadmap 2024 (Beginner's Guide),2024-03-13T16:26:57Z,PT11M14S,578559,26697,2536
Make Money 💰,2024-03-13T14:11:11Z,PT49S,127432,10895,72
5 Ways to Make Money from Coding 💰💵,2024-03-12T15:14:59Z,PT58S,279263,22731,100
Learn this Programming Language in 2024 👨‍💻,2024-03-11T08:52:01Z,PT58S,252591,21115,172
Coding Without a Degree?,2024-03-09T20:24:56Z,PT48S,469647,37588,494
Java in 2024❓,2024-03-08T07:18:58Z,PT58S,173944,14344,134
Best Framework for Web Development - The Bitter Truth 😒,2024-03-07T13:18:50Z,PT11M25S,133071,5417,557
Layouts in Next.js | Sigma Web Development Course - Tutorial #129,2024-03-05T05:30:10Z,PT12M34S,65592,2042,345
Amazing Learning Trick 🔥,2024-03-04T17:00:37Z,PT55S,142395,14871,129
Dynamic Routes in Next.js | Sigma Web Development Course - Tutorial #128,2024-03-04T11:48:54Z,PT9M51S,53912,1782,312
Auth.js - Authentication in Next.js | Sigma Web Development Course - Tutorial #127,2024-03-03T13:45:50Z,PT14M4S,72028,2116,244
PHP in 2024?,2024-03-03T07:33:35Z,PT58S,280994,20300,186
Middleware in Next.js | Sigma Web Development Course - Tutorial #126,2024-03-02T15:05:23Z,PT10M18S,43082,1680,144
DSA & ₹1.2 Crore Per Annum Jobs - The Truth? (No Offence),2024-02-28T15:37:09Z,PT12M22S,913600,35346,1497
Server Actions in Next.js | Sigma Web Development Course - Tutorial #125,2024-02-28T05:30:10Z,PT13M16S,51009,2016,239
Creating APIs in Next.js | Sigma Web Development Course - Tutorial #124,2024-02-27T11:30:01Z,PT7M48S,59349,1929,142
How To Get Rich & Financially Independent (Works in 2025),2024-02-25T05:30:00Z,PT15M49S,825307,43464,1543
"Script, Link & Image components in Next.js | Sigma Web Development Course - Tutorial #123",2024-02-24T11:30:33Z,PT20M37S,55887,2084,206
Server Components in Next.js | Sigma Web Development Course - Tutorial #122,2024-02-23T11:30:16Z,PT11M12S,51752,2189,238
Introduction to Next.js & File based routing | Sigma Web Development Course - Tutorial #121,2024-02-22T11:52:23Z,PT12M25S,94987,3271,294
Learn Redux in One video | Sigma Web Development Course - Tutorial #120,2024-02-21T15:44:53Z,PT19M37S,139372,4428,280
Handling Forms + Connecting React to Express Backend | Sigma Web Development Course - Tutorial #119,2024-02-20T13:43:27Z,PT31M29S,101712,2983,259
The useCallback hook in React | Sigma Web Development Course - Tutorial #118,2024-02-18T11:30:07Z,PT14M,87410,3239,290
The useMemo hook in React | Sigma Web Development Course - Tutorial #117,2024-02-17T11:30:25Z,PT14M49S,81418,3192,302
The useContext hook in React | Sigma Web Development Course - Tutorial #116,2024-02-16T11:30:17Z,PT16M17S,120644,3993,287
One Effective Trick to Learn Coding Fast (Works in 2025),2024-02-15T15:19:35Z,PT4M53S,386318,17770,434
React Router: Routing in React | Sigma Web Development Course - Tutorial #115,2024-02-14T14:47:22Z,PT17M,217636,5517,364
"TodoList App using React, Tailwind & React Icons | Sigma Web Development Course - Tutorial #114",2024-02-14T05:30:13Z,PT1H21M55S,193911,3754,511
Logic Building in Programming - 5 Proven Strategies (2025) 🔥,2024-02-12T11:47:41Z,PT13M1S,655883,30464,1486
😈 Innovative Hacking Technique 😱🤯🙀,2024-02-11T17:00:18Z,PT1M,113252,10469,61
How Hackers Hack using Gmail (Innovative) 🔥,2024-02-11T11:30:30Z,PT9M16S,134595,3897,260
Which Code Editor to Use?,2024-02-09T16:30:05Z,PT39S,228791,14540,195
Exercise 18 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #113,2024-02-08T16:14:04Z,PT13M19S,62725,2377,331
Handling Events in React | Sigma Web Development Course - Tutorial #112,2024-02-07T17:05:50Z,PT16M35S,88811,3321,318
👨‍💻 Should Kids learn Coding?,2024-02-07T07:14:21Z,PT36S,145044,10272,174
Exercise 18 - Display the Cards | Sigma Web Development Course - Tutorial #111,2024-02-06T16:09:04Z,PT6M11S,63829,2645,331
Conditional Rendering  & Rendering Lists in React | Sigma Web Development Course - Tutorial #110,2024-02-05T15:43:53Z,PT19M6S,103241,3366,336
"Let’s Build a Tech Blog using HTML, Tailwind CSS, React, and Appwrite Cloud as a backend 🔥",2024-02-04T15:30:04Z,PT43M26S,49105,1630,151
No C/C++ in 2024?,2024-02-04T05:52:24Z,PT50S,85547,6253,73
🔥 Top Programming Languages for 2025 Jobs! 💻🚀,2024-02-02T17:07:56Z,PT8M10S,218624,10603,675
The useRef Hook in React | Sigma Web Development Course - Tutorial #109,2024-02-01T15:56:27Z,PT14M44S,143979,5293,519
The useEffect Hook in React | Sigma Web Development Course - Tutorial #108,2024-01-31T16:04:08Z,PT26M6S,170775,5652,615
Hooks & State in React | Sigma Web Development Course - Tutorial #107,2024-01-30T15:54:47Z,PT11M19S,128293,4729,505
Coding = कितना पैसा? 🤑,2024-01-30T09:45:23Z,PT28S,1026716,63310,452
"Components, Props and JSX in React | Sigma Web Development Course - Tutorial #106",2024-01-29T16:13:43Z,PT26M53S,168238,5901,1347
Introduction to React & Why use React? | Sigma Web Development Course - Tutorial #105,2024-01-28T17:51:22Z,PT40M38S,219408,7120,855
Python in 2024 ❌or ✔️,2024-01-27T14:57:38Z,PT47S,1072014,71520,433
How to Start Coding in 2025? Learn Programming in 2025 for Beginners 🔥,2024-01-26T14:43:19Z,PT14M,1486070,64350,2546
Hosting an Express App on Ubuntu VPS using Hostinger | Sigma Web Development Course - Tutorial #104,2024-01-25T16:01:04Z,PT24M6S,62746,1974,248
What is Hosting? Where to Host? Which Hosting? | Sigma Web Development Course - Tutorial #103,2024-01-24T16:37:48Z,PT38M8S,98845,4020,403
Exercise 17 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #102,2024-01-23T15:56:43Z,PT11M49S,37540,1365,208
How to quickly build a website with Elementor Hosting and AI 🔥,2024-01-21T14:30:16Z,PT17M38S,25244,768,110
Modern UI Library,2024-01-21T08:54:00Z,PT36S,109309,8963,40
"SyncFusion: A UI Component Suite for Building Powerful Web, Desktop, and Mobile Apps",2024-01-21T05:30:10Z,PT18M59S,15029,652,70
X.com (Twitter) Clone using Tailwind CSS | Sigma Web Development Course - Tutorial #101,2024-01-20T05:30:13Z,PT2H27M49S,221948,4713,462
Exercise 17 - Design This Layout | Sigma Web Development Course - Tutorial #100,2024-01-18T11:30:21Z,PT3M14S,53849,2342,677
Creating Cost Calculator in Wordpress | Cost Calculator Plugin for WordPress 🔥,2024-01-18T05:30:05Z,PT15M44S,10264,194,31
Lets build a Portfolio Website using Hostinger AI Builder 🔥,2024-01-17T14:30:16Z,PT33M7S,27695,985,136
Exercise 16 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #99,2024-01-17T08:33:22Z,PT22M44S,57558,1977,249
Tailwind CSS in one Video | Sigma Web Development Course - Tutorial #98,2024-01-16T17:25:00Z,PT33M58S,290670,8254,943
Exercise 16 - Dummy Data Generator | Sigma Web Development Course - Tutorial #97,2024-01-15T11:30:26Z,PT5M42S,48249,2231,601
Secure Yourself Online with this Browser Extension 🔥,2024-01-14T13:19:34Z,PT30S,79642,6638,32
Installing Mongoose & Using it with Express | Sigma Web Development Course - Tutorial #96,2024-01-14T11:15:57Z,PT23M19S,106652,3548,326
CRUD Operations in MongoDB | Sigma Web Development Course - Tutorial #95,2024-01-13T15:07:42Z,PT17M21S,106261,3503,278
Installing MongoDB & MongoDB Compass | Sigma Web Development Course - Tutorial #94,2024-01-12T16:25:54Z,PT24M33S,218536,5723,509
Exercise 15 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #93,2024-01-11T14:45:01Z,PT17M33S,61436,2456,315
ejs Template Engine in Express | Sigma Web Development Course - Tutorial #92,2024-01-10T11:30:10Z,PT21M28S,111098,4047,583
Exercise 15 - Clear the Clutter | Sigma Web Development Course - Tutorial #91,2024-01-09T13:55:44Z,PT4M53S,61866,3054,755
This Chrome Extension will BLOW YOUR MIND 🤯| Be Fearless online 🔥,2024-01-07T11:30:05Z,PT9M53S,185185,7715,367
Middlewares in Express Js | Sigma Web Development Course - Tutorial #90,2024-01-06T10:42:33Z,PT19M5S,117319,4677,375
"Response, Request and Routers in Express | Sigma Web Development Course - Tutorial #89",2024-01-05T14:57:21Z,PT27M55S,144170,4313,378
Introduction to Express Js | Sigma Web Development Course - Tutorial #88,2024-01-05T04:30:07Z,PT20M39S,166269,5356,739
"🤑₹3,30,000 New Year Gift for Myself -  Lifestyle Upgrade! 😍",2024-01-03T12:56:18Z,PT6M22S,247404,9718,974
Working with Files: fs and path Modules | Sigma Web Development Course - Tutorial #87,2024-01-03T04:30:03Z,PT17M32S,125768,4250,286
CommonJs Vs EcmaScript Modules | Sigma Web Development Course - Tutorial #86,2024-01-02T10:56:57Z,PT17M46S,172034,5148,459
Exploring MyKode Framework for rapid development of Single Page Applications,2023-12-31T16:42:28Z,PT11M54S,9185,297,56
"Backend, Node.js & npm | Sigma Web Development Course - Tutorial #85",2023-12-28T16:27:04Z,PT17M20S,301375,9294,737
"Spotify Clone using HTML, CSS & JavaScript | Sigma Web Development Course - Tutorial #84",2023-12-26T15:40:04Z,PT5H35M39S,967850,15699,2629
JavaScript Interview Questions | Sigma Web Development Course - Tutorial #83,2023-12-24T14:30:14Z,PT21M8S,144788,5337,462
How to host a Front End react app on a Linux Server (Beginner Tutorial) 🔥,2023-12-24T05:30:04Z,PT7M21S,16663,530,52
